configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,175426,0.173
1,tiff,1,1,0,1,175492,0.199
10,png,1,0,1,1,169392,0.191
11,png,1,0,0,1,169392,0.175
12,png,0,1,0,0,1185033,2.909
13,png,0,0,0,0,1185030,2.875
14,png,0,0,0,1,1184902,2.926
15,png,0,1,1,0,1185036,2.873
2,tiff,1,0,1,1,175428,0.174
3,tiff,1,0,0,1,175493,0.199
4,tiff,0,1,0,0,1698460,0.371
5,tiff,0,0,0,0,1698336,0.369
6,tiff,0,0,0,1,1696570,0.358
7,tiff,0,1,1,0,1698338,0.35
8,png,1,1,1,1,169393,0.174
9,png,1,1,0,1,169393,0.17
