configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,739164,1.719
1,tiff,1,1,0,1,739164,1.696
10,png,1,0,1,1,739165,1.728
11,png,1,0,0,1,739161,1.785
12,png,0,1,0,0,3168072,5.461
13,png,0,0,0,0,3168074,5.425
14,png,0,0,0,1,3168072,5.467
15,png,0,1,1,0,3168071,5.449
2,tiff,1,0,1,1,739160,1.718
3,tiff,1,0,0,1,739164,1.778
4,tiff,0,1,0,0,4807718,1.817
5,tiff,0,0,0,0,4807631,1.848
6,tiff,0,0,0,1,4807710,1.832
7,tiff,0,1,1,0,4807631,1.819
8,png,1,1,1,1,739163,1.705
9,png,1,1,0,1,739164,1.697
