configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1612688,1.337
1,tiff,1,1,0,1,1612693,1.312
10,png,1,0,1,1,1577760,3.077
11,png,1,0,0,1,1577752,3.082
12,png,0,1,0,0,2357340,5.076
13,png,0,0,0,0,2357338,5.056
14,png,0,0,0,1,2341684,4.87
15,png,0,1,1,0,2357331,5.065
2,tiff,1,0,1,1,1612683,1.315
3,tiff,1,0,0,1,1612715,1.344
4,tiff,0,1,0,0,2762573,1.399
5,tiff,0,0,0,0,2761917,1.458
6,tiff,0,0,0,1,2745031,1.391
7,tiff,0,1,1,0,2762585,1.399
8,png,1,1,1,1,1577744,3.119
9,png,1,1,0,1,1577765,3.114
