configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,6362651,6.121
1,tiff,1,1,0,1,6362669,6.174
10,png,1,0,1,1,6662754,12.32
11,png,1,0,0,1,6662503,12.302
12,png,0,1,0,0,10651898,32.234
13,png,0,0,0,0,10651921,32.093
14,png,0,0,0,1,10651919,31.791
15,png,0,1,1,0,10651897,31.787
2,tiff,1,0,1,1,6362665,6.166
3,tiff,1,0,0,1,6362655,6.11
4,tiff,0,1,0,0,11409244,9.367
5,tiff,0,0,0,0,11409563,9.393
6,tiff,0,0,0,1,11409564,9.312
7,tiff,0,1,1,0,11409236,9.41
8,png,1,1,1,1,6662488,12.367
9,png,1,1,0,1,6662507,12.48
