configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,6362689,0m6.122s
1,tiff,1,1,0,1,6362653,0m6.076s
10,png,1,0,1,1,6662756,0m12.299s
11,png,1,0,0,1,6662745,0m12.341s
12,png,0,1,0,0,10651914,0m31.851s
13,png,0,0,0,0,10651923,0m31.824s
14,png,0,0,0,1,10651934,0m31.954s
15,png,0,1,1,0,10651952,0m31.908s
2,tiff,1,0,1,1,6362655,0m6.044s
3,tiff,1,0,0,1,6362653,0m6.106s
4,tiff,0,1,0,0,11409330,0m9.318s
5,tiff,0,0,0,0,11409662,0m9.468s
6,tiff,0,0,0,1,11409220,0m9.347s
7,tiff,0,1,1,0,11409756,0m9.288s
8,png,1,1,1,1,6662476,0m12.378s
9,png,1,1,0,1,6662750,0m12.449s
