configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,2213173,0m4.195s
1,tiff,1,1,0,1,2213085,0m4.201s
10,png,1,0,1,1,1753335,0m8.185s
11,png,1,0,0,1,1753379,0m8.272s
12,png,0,1,0,0,1894614,0m8.270s
13,png,0,0,0,0,1894339,0m8.274s
14,png,0,0,0,1,1894659,0m8.282s
15,png,0,1,1,0,1894324,0m8.382s
2,tiff,1,0,1,1,2213175,0m4.196s
3,tiff,1,0,0,1,2214633,0m4.145s
4,tiff,0,1,0,0,2400975,0m4.184s
5,tiff,0,0,0,0,2399867,0m4.174s
6,tiff,0,0,0,1,2401056,0m4.196s
7,tiff,0,1,1,0,2401149,0m4.211s
8,png,1,1,1,1,1753345,0m8.200s
9,png,1,1,0,1,1753372,0m8.185s
