configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,1205604,0m1.181s
1,tiff,1,1,0,1,1205819,0m1.200s
10,png,1,0,1,1,1349671,0m2.527s
11,png,1,0,0,1,1349697,0m2.536s
12,png,0,1,0,0,3177550,0m5.049s
13,png,0,0,0,0,3177556,0m5.043s
14,png,0,0,0,1,3178114,0m5.024s
15,png,0,1,1,0,3177553,0m5.009s
2,tiff,1,0,1,1,1205800,0m1.141s
3,tiff,1,0,0,1,1206033,0m1.201s
4,tiff,0,1,0,0,3875953,0m1.310s
5,tiff,0,0,0,0,3875951,0m1.303s
6,tiff,0,0,0,1,3875877,0m1.355s
7,tiff,0,1,1,0,3875970,0m1.363s
8,png,1,1,1,1,1349675,0m2.493s
9,png,1,1,0,1,1349690,0m2.570s
