configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,15255437,8.252
1,tiff,1,1,0,1,15255232,8.314
10,png,1,0,1,1,15095080,24.995
11,png,1,0,0,1,15095098,24.933
12,png,0,1,0,0,14807432,31.607
13,png,0,0,0,0,14807400,31.608
14,png,0,0,0,1,14807386,31.533
15,png,0,1,1,0,14807399,31.625
2,tiff,1,0,1,1,15255292,8.354
3,tiff,1,0,0,1,15255320,8.25
4,tiff,0,1,0,0,14377429,8.785
5,tiff,0,0,0,0,14377591,8.831
6,tiff,0,0,0,1,14377413,8.762
7,tiff,0,1,1,0,14377334,8.814
8,png,1,1,1,1,15095075,24.872
9,png,1,1,0,1,15095091,24.91
