configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1612692,1.374
1,tiff,1,1,0,1,1612683,1.312
10,png,1,0,1,1,1577737,3.13
11,png,1,0,0,1,1577762,3.116
12,png,0,1,0,0,2357326,5.033
13,png,0,0,0,0,2357324,5.04
14,png,0,0,0,1,2341673,4.957
15,png,0,1,1,0,2357339,5.203
2,tiff,1,0,1,1,1612679,1.38
3,tiff,1,0,0,1,1612677,1.348
4,tiff,0,1,0,0,2762586,1.425
5,tiff,0,0,0,0,2762489,1.444
6,tiff,0,0,0,1,2744923,1.406
7,tiff,0,1,1,0,2762555,1.402
8,png,1,1,1,1,1577767,3.087
9,png,1,1,0,1,1577749,3.15
