configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,3273947,5.481
1,tiff,1,1,0,1,3273939,5.53
10,png,1,0,1,1,3254980,8.813
11,png,1,0,0,1,3254946,8.818
12,png,0,1,0,0,8502336,26.048
13,png,0,0,0,0,8502402,26.12
14,png,0,0,0,1,8502342,26.099
15,png,0,1,1,0,8502353,26.033
2,tiff,1,0,1,1,3273987,5.493
3,tiff,1,0,0,1,3273986,5.442
4,tiff,0,1,0,0,10068928,6.118
5,tiff,0,0,0,0,10068875,6.23
6,tiff,0,0,0,1,10068971,6.124
7,tiff,0,1,1,0,10068799,6.177
8,png,1,1,1,1,3254933,8.863
9,png,1,1,0,1,3254928,8.888
