configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,3001844,2.725
1,50%,xz,-3,1,3001844,2.707
10,100%,xz,-9,1,2750272,5.552
11,50%,lzma,-6,16,2749760,5.419
12,75%,xz,-3,32,3001844,2.761
13,50%,lzma,-3,16,3001334,2.673
14,50%,lzma,-6,32,2749760,5.439
15,50%,xz,-6,32,2750228,5.472
16,75%,lzma,-3,16,3001334,2.665
17,75%,lzma,-6,32,2749760,5.403
18,100%,lzma,-6,1,2749760,5.413
19,75%,lzma,-3,1,3001334,2.664
2,75%,xz,-9,16,2750272,5.508
20,75%,lzma,-6,1,2749760,5.427
21,75%,lzma,-6,16,2749760,5.429
22,100%,xz,-9,32,2750272,5.56
23,100%,xz,-9,16,2750272,5.535
24,50%,lzma,-9,32,2749803,5.53
25,50%,lzma,-3,32,3001334,2.709
26,100%,xz,-3,1,3001844,2.695
27,100%,lzma,-9,16,2749803,5.472
28,100%,lzma,-3,1,3001334,2.706
29,50%,lzma,-6,1,2749760,5.414
3,100%,xz,-6,32,2750228,5.411
4,50%,lzma,-3,1,3001334,2.696
5,75%,xz,-3,1,3001844,2.699
6,100%,lzma,-6,16,2749760,5.444
7,75%,xz,-6,32,2750228,5.435
8,50%,xz,-3,32,3001844,2.754
9,75%,xz,-9,32,2750272,5.544
