configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,2131652,2.606
1,50%,xz,-3,1,2131652,2.629
10,100%,xz,-9,1,1738884,11.878
11,50%,lzma,-6,16,1778958,11.555
12,75%,xz,-3,32,2131652,2.638
13,50%,lzma,-3,16,2131278,2.53
14,50%,lzma,-6,32,1778958,11.473
15,50%,xz,-6,32,1779272,11.602
16,75%,lzma,-3,16,2131278,2.511
17,75%,lzma,-6,32,1778958,11.482
18,100%,lzma,-6,1,1778958,11.45
19,75%,lzma,-3,1,2131278,2.546
2,75%,xz,-9,16,1738884,11.909
20,75%,lzma,-6,1,1778958,11.466
21,75%,lzma,-6,16,1778958,11.424
22,100%,xz,-9,32,1738884,12.006
23,100%,xz,-9,16,1738884,11.884
24,50%,lzma,-9,32,1738572,11.84
25,50%,lzma,-3,32,2131278,2.545
26,100%,xz,-3,1,2131652,2.638
27,100%,lzma,-9,16,1738572,11.798
28,100%,lzma,-3,1,2131278,2.547
29,50%,lzma,-6,1,1778958,11.447
3,100%,xz,-6,32,1779272,11.574
4,50%,lzma,-3,1,2131278,2.553
5,75%,xz,-3,1,2131652,2.622
6,100%,lzma,-6,16,1778958,11.497
7,75%,xz,-6,32,1779272,11.579
8,50%,xz,-3,32,2131652,2.688
9,75%,xz,-9,32,1738884,11.895
