configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,15255359,0m8.258s
1,tiff,1,1,0,1,15255444,0m8.332s
10,png,1,0,1,1,15095085,0m25.016s
11,png,1,0,0,1,15095097,0m24.910s
12,png,0,1,0,0,14807393,0m31.665s
13,png,0,0,0,0,14807254,0m31.548s
14,png,0,0,0,1,14807432,0m32.011s
15,png,0,1,1,0,14807369,0m31.645s
2,tiff,1,0,1,1,15255160,0m8.259s
3,tiff,1,0,0,1,15255390,0m8.272s
4,tiff,0,1,0,0,14377369,0m8.893s
5,tiff,0,0,0,0,14377424,0m8.808s
6,tiff,0,0,0,1,14376894,0m8.880s
7,tiff,0,1,1,0,14377050,0m8.923s
8,png,1,1,1,1,15095101,0m24.927s
9,png,1,1,0,1,15095105,0m24.945s
